customerid,systemloanid,loannumber,approveddate,creationdate,loanamount,totaldue,termdays,referredby,good_bad_flag,birthdate,longitude_gps,latitude_gps,bank_branch_clients,systemloanid_count,loanamount_mean,loanamount_max,totaldue_mean,termdays_mean,termdays_max,repayment_delay_mean,employment_status_clients_Permanent
8a858f4655ca643c0155cbc4e13945cc,301965090,15,47:33.0,47:19.0,40000,44000,30,,Good,00:00.0,12.4805166,9.2099548,,14,29285.714285714286,40000,33485.71428571428,30,30,-5.5,TRUE
8a858f4f5511dca201551b73634170b6,301997295,4,15:25.0,15:18.0,10000,13000,30,,Good,,,,,3,10000,10000,12000,20,30,10,FALSE
8a858f555cc65d60015cc72de106320c,301974694,2,27:04.0,26:56.0,10000,13000,30,8a858e6c5c88d145015c89430ef61a5d,Good,,,,,1,10000,10000,11500,15,15,-3,FALSE
8a858f5e599783c0015997c56ef70ffa,302001086,3,03:37.0,02:26.0,10000,11500,15,,Good,00:00.0,3.30555,6.5103567,,2,10000,10000,11500,15,15,-2,FALSE
8a858f60560bc43d01561d94abd91c48,301991908,4,52:36.0,52:30.0,10000,11500,15,,Good,00:00.0,3.9036073,7.3393735,,3,10000,10000,13000,30,30,-12.66666667,TRUE
8a858f6e5aa3c922015aa3d9cba10a74,301983676,5,04:15.0,04:04.0,20000,22250,15,,Good,,,,,4,12500,20000,14187.5,15,15,0.25,FALSE
8a858f785cea234f015cea434e0a09e6,301974590,2,21:08.0,21:02.0,10000,13000,30,8a858eba5c884d2a015c8bea59385157,Good,00:00.0,3.6595105,6.6681408,,1,10000,10000,11500,15,15,0,TRUE
8a858f7e564ad338015654d3a5c242a5,301969110,8,23:48.0,23:43.0,30000,34500,30,,Good,00:00.0,8.6713276,9.0830135,,7,14285.714285714286,20000,17928.571428571428,30,30,-7.714285714,TRUE
8a858f9158aff6a30158b5f2ff887585,301985845,9,55:01.0,54:53.0,20000,22250,15,,Good,00:00.0,3.5579715,6.4634231,,8,17500,30000,20706.25,26.25,30,-1.875,TRUE
8a858f975c4582c4015c550ee4925686,301998392,3,30:55.0,30:49.0,10000,13000,30,,Good,,,,,2,10000,10000,13000,30,30,-2.5,FALSE
8a858f995a4762a5015a4c25b0ea01c3,301981230,6,53:36.0,53:30.0,20000,24500,30,,Good,00:00.0,5.3269784,7.799699,,5,14000,20000,17460,30,30,-9.2,TRUE
8a858fa45bd95e9a015be131cdec35a8,301962952,3,33:25.0,33:20.0,10000,13000,30,,Good,00:00.0,3.5159825,6.7062641,,2,10000,10000,12250,22.5,30,-0.5,TRUE
8a858fae5b49223f015b499e1cf9485b,301982904,4,03:50.0,02:40.0,10000,13000,30,,Bad,00:00.0,3.2643932,6.5667918,,3,10000,10000,12000,20,30,2.6666666666666665,FALSE
8a858fb15b34a708015b350c4a1a58d2,301994303,4,45:42.0,45:34.0,20000,24500,30,,Good,00:00.0,3.9074055,6.8171079,,3,10000,10000,13000,30,30,-6.333333333,TRUE
8a858fba5cd5feee015cda4f0fa423b4,301991730,2,02:49.0,02:28.0,10000,11500,15,,Good,00:00.0,3.3229955,6.6538756,,1,10000,10000,11500,15,15,-2,FALSE
8a858fc55b2fde30015b30c9256b43fd,302001637,5,18:10.0,17:00.0,20000,24500,30,,Good,,,,,4,12500,20000,15875,30,30,-6.75,FALSE
8a858fcb5ca240f7015ca64a71fa1951,301960154,2,46:44.0,46:39.0,10000,13000,30,,Good,00:00.0,3.8710285,7.307713,,1,10000,10000,13000,30,30,-25,TRUE
8a858fd45a4260bc015a42ac9e89278d,301961250,5,36:32.0,36:27.0,20000,24500,30,,Good,,,,,4,11250,15000,14343.75,30,30,-9.75,FALSE
8a858fd95c3b5bca015c3fcc0b374c3e,301968227,2,17:06.0,17:00.0,10000,13000,30,,Good,00:00.0,7.4847391,8.9966162,,1,10000,10000,11500,15,15,-2,TRUE
8a85882953bc04f80153c205b75d7403,301990784,8,50:43.0,50:30.0,40000,48000,60,,Good,00:00.0,3.3427681,6.5094142,,7,17142.85714285714,30000,20800,30,60,-9.285714286,FALSE
8a8588dc536a14130153753dc8d32698,301961089,17,38:49.0,38:43.0,40000,44000,30,,Good,00:00.0,3.4339027,6.8257862,,16,27500,40000,31459.375,29.0625,30,-3.3125,FALSE
8a8588fd53c244bc0153c8305ea7338f,301966060,4,25:08.0,24:54.0,20000,22250,15,,Bad,00:00.0,-2.9799497,56.464013,,3,10000,10000,12000,20,30,-6,FALSE
8a85895054a061920154a909b1a76c1d,301973229,12,22:15.0,22:09.0,30000,34500,30,,Good,00:00.0,7.4941013,8.9654194,,11,20000,30000,23156.81818181818,24.545454545454547,30,-0.818181818,TRUE
8a8589b953bc23f70153c90114817143,301980705,7,24:16.0,23:03.0,30000,39000,60,,Bad,,,,,6,15000,30000,19133.333333333332,35,60,-1.666666667,FALSE
8a858e02578f616401579484a4963345,302002801,12,01:27.0,01:19.0,30000,34500,30,,Bad,00:00.0,8.3232966,4.9612435,,11,19090.909090909092,30000,22236.363636363636,24.545454545454547,30,-0.818181818,FALSE
8a858e0b5cfa2028015d092b47e27e30,301985334,2,30:17.0,30:10.0,10000,13000,30,,Good,,,,,1,10000,10000,11500,15,15,-5,FALSE
8a858e1556321b940156548b9ca970a6,301984218,12,35:30.0,35:23.0,40000,48000,60,,Good,00:00.0,3.1696445,6.6879675,,11,20909.090909090908,40000,23900,23.181818181818183,60,-6,TRUE
8a858e195b90e512015ba0eb4eed5ef5,301964674,5,35:38.0,35:33.0,20000,24500,30,8a858f9d5668e3f10156767e9a0f0188,Good,,,,,4,12500,20000,14750,18.75,30,-0.75,FALSE
8a858e205af28299015af50a799745c5,301994002,7,31:35.0,31:28.0,30000,39000,60,,Good,00:00.0,3.9628733,7.3864283,,6,15000,20000,18383.333333333332,27.5,30,-7.333333333,TRUE
8a858e2e5bb57a37015bbe1b8d6d3830,301964194,3,01:31.0,01:26.0,10000,13000,30,,Good,,,,,2,10000,10000,13000,30,30,-2.5,FALSE
8a858e3559080830015923412dd84294,301972478,10,16:04.0,14:54.0,40000,44000,30,,Good,,,,,9,22222.222222222223,40000,26000,30,30,-7.777777778,FALSE
8a858e3e5b3ee747015b3f0409012b7f,301963059,5,25:02.0,24:57.0,30000,39000,60,,Good,00:00.0,6.785373,6.1538848,,4,15000,20000,18750,30,30,-8.75,TRUE
8a858e4a5cac6f81015cad78a648389f,301988316,2,56:49.0,56:43.0,10000,13000,30,8a858f645cac1a7e015cac2a1a5911f4,Good,,,,,1,10000,10000,13000,30,30,-4,FALSE
8a858e575bf80f73015bfbc59df93401,301967317,3,10:23.0,10:15.0,10000,13000,30,8a858fad5bf85d5e015bf8efc79e33dd,Good,,,,,2,10000,10000,13000,30,30,-10,FALSE
8a858e625c8d993a015c95e7ced318df,301993647,2,28:18.0,28:12.0,10000,13000,30,,Good,00:00.0,3.8485124,7.3684474,,1,10000,10000,13000,30,30,0,TRUE
8a858e655a047d1a015a12bb060936ff,301997062,3,08:24.0,08:17.0,10000,13000,30,,Good,,,,,2,10000,10000,13000,30,30,2,FALSE
8a858e6e55c554c20155c6d8e2925c62,301984086,8,24:31.0,23:21.0,10000,13000,30,,Good,00:00.0,3.3562934,6.5295153,,7,14285.714285714286,20000,17500,27.857142857142858,30,15.428571428571429,FALSE
8a858e785acd3412015acd7bdec42d4f,301965319,6,12:38.0,12:30.0,30000,34500,30,,Good,00:00.0,3.4575733,6.8170067,,5,14000,20000,16550,21,30,-3.6,TRUE
8a858e875c63d395015c74bdfd343206,302001775,2,14:40.0,14:32.0,10000,13000,30,,Good,00:00.0,3.1941288,6.5054402,,1,10000,10000,11500,15,15,-4,FALSE
8a858e8d56adbdae0156b30248fe3104,301975923,4,54:39.0,54:31.0,20000,24500,30,,Good,,,,,3,13333.333333333334,20000,16833.333333333332,30,30,0.3333333333333333,FALSE
8a858e985885ff6d01589211d7c01088,301983843,6,24:53.0,24:47.0,20000,24500,30,,Good,00:00.0,3.3704039,6.5613766,,5,14000,20000,16150,18,30,-3.8,TRUE
8a858ea15ca2565c015ca6ed24977b5e,301976588,2,45:05.0,44:57.0,10000,13000,30,,Good,00:00.0,3.5754168,6.8846432,,1,10000,10000,13000,30,30,-5,TRUE
8a858eaa55a0b8ae0155bab849c616a1,301984604,2,53:04.0,52:57.0,10000,13000,30,,Good,00:00.0,6.5298068,9.6558677,,1,10000,10000,11500,15,15,-6,TRUE
8a858eb4596ff919015974a667560a89,301968410,8,46:29.0,46:17.0,30000,34500,30,,Good,00:00.0,3.0422946,7.0111402,,7,17142.85714285714,30000,20371.428571428572,25.714285714285715,30,-2.428571429,TRUE
8a858ec55b441639015b444e78b7361f,301979821,4,07:28.0,07:21.0,10000,11125,15,,Good,,,,,3,10000,10000,11500,15,15,-7.333333333,FALSE
8a858ece5b0142e3015b0a3a7f183339,302001189,5,14:09.0,14:01.0,20000,24500,30,,Good,,,,,4,12500,20000,15875,30,30,-2.75,FALSE
8a858eda552adcc20155307212b55ac2,301982461,11,24:08.0,24:01.0,30000,34500,30,,Good,00:00.0,3.3296052,6.6641726,,10,18000,30000,21760,28.5,30,-1,FALSE
8a858ee454da1cbd0154e2796fba7142,301978197,12,59:53.0,58:41.0,30000,34500,30,,Bad,00:00.0,8.3422141,4.9916379,,11,20000,30000,24036.363636363636,30,30,6,FALSE
8a858ee65a8401a1015a8447d2ac1cf2,302003266,6,48:29.0,48:23.0,20000,24500,30,,Good,00:00.0,3.3189105,6.475366,,5,14000,20000,17600,30,30,-3.8,TRUE
8a858eef5554890501555868a7475f44,301977148,8,22:18.0,22:11.0,15000,16687.5,15,,Good,00:00.0,3.0761816,6.5206408,,7,11428.57142857143,15000,13189.285714285714,17.142857142857142,30,1.7142857142857142,TRUE
8a858eff55a090650155a13892552a0b,301991683,2,20:52.0,20:29.0,10000,11500,15,,Good,,,,,1,10000,10000,11500,15,15,-1,FALSE
8a858f0656b7820c0156c3e3a61c1d33,301971016,15,14:43.0,14:29.0,50000,52500,30,,Good,00:00.0,3.4569749,6.4445183,,14,30000,40000,33742.857142857145,25.714285714285715,30,-5.642857143,TRUE
8a858f0f5bfd79d2015c0331ce3378fe,301997626,2,36:09.0,36:02.0,10000,11500,15,,Good,,,,,1,10000,10000,13000,30,30,-6,FALSE
8a858f1f587161850158742ebbce53d8,301974331,9,36:23.0,36:17.0,30000,34500,30,,Good,00:00.0,7.4031311,9.0338175,,8,17500,25000,20987.5,30,30,-10.75,TRUE
8a858f275c451af5015c49a2c43b5fb2,301980592,2,54:48.0,54:40.0,10000,13000,30,8a858e725c3ae262015c45243caa4f4d,Good,00:00.0,3.2987679,6.6817293,,1,10000,10000,13000,30,30,-4,TRUE
8a858f305cb1ec4e015cb215f0500a8d,301978868,2,37:01.0,36:55.0,10000,13000,30,8a858eda5c8863ff015c8b96e5fd74d0,Good,00:00.0,7.42814,10.5155267,,1,10000,10000,13000,30,30,-2,TRUE
8a858f375cef1cbc015ceff67d505f59,302001119,2,22:54.0,22:45.0,10000,13000,30,,Good,00:00.0,3.5643465,6.4670586,,1,10000,10000,13000,30,30,-4,FALSE
8a858f425b85835d015b85bfe40538db,301966525,2,18:08.0,18:02.0,10000,13000,30,,Good,00:00.0,3.9192159,6.834497,,1,10000,10000,13000,30,30,-6,TRUE
8a858f495c5973ce015c59c5f099417c,301994809,3,51:56.0,51:50.0,10000,13000,30,,Good,00:00.0,3.3329005,6.5848311,,2,10000,10000,13000,30,30,-3.5,TRUE
8a858f54589736f401589857085e3b5b,301981912,9,40:41.0,39:28.0,40000,44000,30,,Good,00:00.0,4.5164514,7.5221913,,8,18750,30000,22525,31.875,60,-4.625,FALSE
8a858f585bfd6341015c03694f85158f,301974102,4,55:44.0,55:36.0,10000,11500,15,,Good,00:00.0,7.9308565,5.0315413,,3,10000,10000,11500,15,15,-0.666666667,TRUE
8a858f5e5cf45779015cf47ed8db1872,302002546,2,55:51.0,55:44.0,10000,13000,30,8a858ed75732b681015744c9dee21aae,Good,00:00.0,7.3739783,8.9866,,1,10000,10000,13000,30,30,-2,TRUE
8a858f665c45930d015c54a24fdc1f6c,301969912,2,16:41.0,16:35.0,10000,11500,15,,Good,00:00.0,7.5247928,6.4143695,,1,10000,10000,11500,15,15,-8,TRUE
8a858f6f5b3f095b015b4083532532a0,301990087,2,03:47.0,03:41.0,10000,13000,30,,Good,00:00.0,3.516056,6.6697184,,1,10000,10000,13000,30,30,-8,TRUE
8a858f7a5ca22d3c015ca24d01461879,301973351,2,27:12.0,27:06.0,10000,13000,30,,Good,00:00.0,3.2906601,6.5762048,,1,10000,10000,13000,30,30,-7,FALSE
8a858f8d5cc56f9a015cc57e769908ac,301989000,2,25:19.0,25:12.0,10000,13000,30,,Bad,00:00.0,6.9935739,4.787991,,1,10000,10000,13000,30,30,-1,TRUE
8a858f965bb63a25015bc22b915e62f1,301985658,5,19:31.0,19:25.0,20000,22250,15,,Good,00:00.0,5.74397,5.5321806,,4,12500,20000,14187.5,15,15,-0.5,TRUE
8a858f985b80ab2c015b81098b8f2c2e,301983234,4,36:51.0,35:40.0,20000,24500,30,,Good,,,,,3,10000,10000,12500,25,30,-17.33333333,FALSE
8a858fa15c8ceaaa015c8d79c65f4f86,301978213,2,08:46.0,08:40.0,10000,13000,30,8a858e135c7e2eec015c813211a96674,Good,00:00.0,4.4920481,8.4683092,,1,10000,10000,13000,30,30,-3,TRUE
8a858fa95b631878015b6401c15973f3,301967211,3,39:36.0,39:30.0,10000,11500,15,,Bad,,,,,2,10000,10000,11500,15,15,2,FALSE
8a858faf56b7821c0156b93cd62a6275,301960745,9,57:35.0,56:28.0,40000,48000,60,,Good,00:00.0,3.2907677,6.5763859,,8,27500,40000,33412.5,48.75,60,-1.625,TRUE
8a858fb45b3eef19015b3fa969390cd3,301989976,4,18:20.0,18:04.0,20000,22250,15,,Good,00:00.0,3.4585124,6.4391929,,3,10000,10000,12500,25,30,-1.666666667,TRUE
8a858fbd5cd6054a015ce82aa3914088,302003004,2,35:13.0,35:05.0,10000,13000,30,,Good,,,,,1,10000,10000,13000,30,30,-7,FALSE
8a858fca5c830943015c835e839e33a5,301972727,2,20:04.0,19:58.0,10000,11500,15,8a858ff25c8250c1015c82907bc62b42,Good,00:00.0,3.8715045,7.4209592,,1,10000,10000,11500,15,15,-15,FALSE
8a858fcf5591c5cf015597c298cb15d9,301982812,2,30:27.0,30:20.0,10000,13000,30,,Good,,,,,1,10000,10000,13000,30,30,-22,FALSE
8a858fd55c45ba15015c4f06ea176506,301991520,3,25:02.0,24:55.0,10000,11500,15,8a858e3a5bed83ab015bedad8d191c74,Good,00:00.0,6.975335,4.8818767,,2,10000,10000,13000,30,30,-3,TRUE
8a858fdf5bf85f71015bfc1f51f9690a,301978816,2,53:30.0,53:21.0,10000,13000,30,,Good,00:00.0,3.3399935,6.6387534,,1,10000,10000,13000,30,30,23,TRUE
8a858fea5b391cd7015b3936e1ca25c8,301960217,5,51:47.0,51:43.0,20000,24500,30,,Good,00:00.0,7.081465,4.847945,,4,12500,20000,15125,22.5,30,-1.75,TRUE
8a858ff45be92ea2015be98bc2162c96,301967768,2,07:00.0,06:53.0,10000,13000,30,,Good,,,,,1,10000,10000,13000,30,30,-14,FALSE
8a858ffb5b350b52015b352574d219d9,301974266,4,57:58.0,56:47.0,20000,24500,30,,Good,00:00.0,3.39221,6.5391844,,3,10000,10000,13000,30,30,-4.333333333,TRUE
8a8589a453bc422d0153c993db2604b6,301980988,11,59:56.0,59:49.0,40000,44000,30,,Bad,00:00.0,8.5754049,12.0086534,,10,26500,40000,29625,24,30,-4.4,TRUE
8a858e275c7ea5ec015c82482d7c3996,301972172,2,21:46.0,21:40.0,10000,13000,30,,Bad,00:00.0,3.3255983,7.1194033,,1,10000,10000,13000,30,30,3,TRUE
8a858e885b68546c015b6cb377c12140,301959359,2,37:48.0,37:42.0,10000,13000,30,,Bad,00:00.0,3.3238605,7.1142931,,1,10000,10000,13000,30,30,0,TRUE
8a858ee65be8d42d015bea072bee5936,301974609,4,33:56.0,33:49.0,20000,24500,30,,Bad,00:00.0,3.3768426,6.5578572,,3,10000,10000,12500,25,30,-5.666666667,FALSE
8a858f3455a0d8070155c5fee7cc0a6d,302000058,2,45:33.0,44:22.0,10000,13000,30,,Bad,,,,,1,10000,10000,13000,30,30,11,FALSE
8a858f7e5c69a6e3015c69b6aba2072e,301965257,2,33:01.0,32:56.0,10000,11500,15,8a858eb65b19b654015b19d9d5aa1ba1,Bad,,,,,1,10000,10000,13000,30,30,-1,FALSE
8a858fd25c5a5bc7015c5b63cb92393a,301991539,2,43:16.0,43:08.0,10000,13000,30,,Bad,00:00.0,5.2191494,7.2108393,,1,10000,10000,13000,30,30,6,TRUE
8a1edbf14734127f0147356fdb1b1eb2,301979352,3,02:04.0,01:56.0,10000,11500,15,,Good,,,,,2,10000,10000,12250,22.5,30,-4,FALSE
8a85884e54a0565b0154ba3fa6c72e7e,301983552,3,07:14.0,07:03.0,10000,11500,15,,Good,00:00.0,7.0123508,4.7531198,,2,7500,10000,8625,15,15,5,TRUE
8a8588f754a058cb0154b3b507dc1abe,302002166,7,07:45.0,07:36.0,30000,34500,30,,Good,,,,,6,18333.333333333332,30000,22150,30,60,-3.833333333,FALSE
8a85892e5425ad2001542d2827756546,301966927,5,21:12.0,21:06.0,20000,24500,30,,Good,,,,,4,15000,20000,18375,26.25,30,-0.25,FALSE
8a8589b953d0be470153d0e6e1490a90,301994120,18,39:37.0,39:30.0,50000,52500,30,,Good,00:00.0,3.1260613,6.6778432,,17,30000,50000,34494.117647058825,38.8235294117647,60,-3.352941176,FALSE
8a858e0458d4ac3d0158dd57e64e736c,301995112,2,42:25.0,42:13.0,10000,13000,30,,Bad,,,,,1,10000,10000,13000,30,30,1,FALSE
8a858e0d59b7438d0159b7e0aa7533cd,302001025,7,25:03.0,24:54.0,30000,34500,30,,Good,00:00.0,3.3813132,6.4939532,,6,15000,20000,18000,22.5,30,-3.333333333,TRUE
8a858e1556321b9401564c8d8e8144d8,301966102,12,48:33.0,48:27.0,20000,22250,15,,Bad,00:00.0,3.5410367,6.733155,,11,10909.09090909091,20000,12440.90909090909,15,15,2.1818181818181817,TRUE
8a858e225c404292015c4419d23d04f8,301996254,3,53:41.0,53:34.0,10000,13000,30,,Good,00:00.0,3.3016329,6.5212034,,2,10000,10000,13000,30,30,-3,TRUE
8a858e3654e2a82401550631bfcd571d,301987129,3,42:45.0,42:36.0,10000,13000,30,,Good,00:00.0,3.5541342,6.6105681,,2,10000,10000,13000,30,30,-2.5,TRUE
8a858e445add19b4015addc433723178,301965422,7,22:50.0,22:46.0,30000,39000,60,,Good,00:00.0,3.3232994,6.627701,,6,13333.333333333334,20000,15708.333333333334,22.5,30,-8,TRUE
8a858e5b5bd99460015bd9e9ee2e18f4,301985880,5,12:57.0,12:50.0,20000,21750,15,,Good,00:00.0,3.3484849,6.6348512,,4,12500,20000,14625,18.75,30,-2.5,FALSE
8a858e615c832be8015c83b1cd532bb9,301992885,3,51:21.0,51:14.0,10000,11500,15,,Bad,00:00.0,8.3163457,5.0481816,,2,10000,10000,12250,22.5,30,-7,FALSE
8a858e69566ae5b801567378795b7add,301969219,5,12:30.0,12:24.0,20000,24500,30,,Good,00:00.0,3.2972894,6.6627479,,4,12500,20000,14750,18.75,30,-3.5,TRUE
8a858e6e55c554c20155d574b4596645,302001070,2,52:07.0,51:59.0,10000,13000,30,,Bad,00:00.0,7.4881394,8.9752501,,1,10000,10000,11500,15,15,-11,TRUE
8a858e725b3424d2015b3427a76103d2,301987972,4,10:56.0,10:42.0,10000,12250,30,,Good,00:00.0,7.4527967,10.4446483,,3,10000,10000,13000,30,30,-3.333333333,FALSE
8a858e845accb4f9015accdccf761e20,302002022,5,16:58.0,16:51.0,10000,13000,30,,Good,00:00.0,3.4446285,6.8397571,,4,10000,10000,13000,30,30,1.25,TRUE
