,customerid,systemloanid,loannumber,approveddate,creationdate,loanamount,totaldue,termdays,referredby,birthdate,bank_account_type,longitude_gps,latitude_gps,bank_name_clients,bank_branch_clients,employment_status_clients,level_of_education_clients,systemloanid_count,loanamount_mean,loanamount_max,totaldue_mean,termdays_mean,termdays_max,repayment_delay_mean
45,8a858e575cf89b61015cf8b4bb1b0d8c,301986049,2,36:38.0,36:31.0,10000,11500.0,15,Unknown,,,,,,,,,1.0,10000.0,10000.0,11500.0,15.0,15.0,0.0
46,8a858ff459faa35f0159fb304ea230e6,301969800,4,33:11.0,33:05.0,10000,13000.0,30,Unknown,,,,,,,,,3.0,10000.0,10000.0,12500.0,25.0,30.0,10.0
47,8a8588175489ef7701548cd088f2207b,301981053,3,54:24.0,53:15.0,10000,13000.0,30,Unknown,,,,,,,,,2.0,10000.0,10000.0,13000.0,30.0,30.0,9.5
48,8a85896653f0fed20153f755e081662f,302003232,3,19:14.0,19:06.0,10000,13000.0,30,Unknown,,,,,,,,,2.0,10000.0,10000.0,13000.0,30.0,30.0,-7.0
49,8a858e0d59b7438d0159bad16dec7397,301970964,8,32:30.0,32:23.0,15000,17250.0,30,Unknown,,,,,,,,,7.0,11428.57142857143,15000.0,13400.0,19.285714285714285,30.0,-2.2857142857142856
50,8a858e3257b91c6d0157d208aede0483,301978457,7,45:16.0,45:09.0,20000,22250.0,15,Unknown,,,,,,,,,6.0,11666.666666666666,20000.0,13233.333333333334,15.0,15.0,0.3333333333333333
51,8a858e475c1c2ea7015c204c71df404c,301991569,3,14:47.0,14:38.0,10000,13000.0,30,Unknown,,,,,,,,,2.0,10000.0,10000.0,12250.0,22.5,30.0,-11.0
52,8a858e69566ae5b80156711deca24df3,301960003,9,48:11.0,48:05.0,30000,34500.0,30,Unknown,1983-11-06 00:00:00.000000,Other,3.2711628,6.4729382,GT Bank,Unknown,Permanent,Unknown,8.0,19375.0,25000.0,23018.75,30.0,30.0,-9.125
53,8a858e7855113fb70155241e8df50aba,301987133,10,45:52.0,45:46.0,30000,39000.0,60,Unknown,,,,,,,,,9.0,15555.555555555555,30000.0,19322.222222222223,31.666666666666668,60.0,-2.5555555555555554
54,8a858e94580afa7901581b3d4fc60798,301973108,7,18:28.0,18:22.0,20000,24500.0,30,Unknown,,,,,,,,,6.0,11666.666666666666,20000.0,14550.0,27.5,30.0,-2.6666666666666665
55,8a858eba5c884d2a015c9795b92e7801,301971824,3,04:53.0,04:48.0,10000,11500.0,15,Unknown,1989-03-15 00:00:00.000000,Savings,4.2513348,8.1488107,GT Bank,Unknown,Permanent,Unknown,2.0,10000.0,10000.0,11500.0,15.0,15.0,-4.0
56,8a858ec45577f83e01557c9d42d31c88,301960596,10,56:17.0,56:12.0,30000,39000.0,60,Unknown,,,,,,,,,9.0,15555.555555555555,30000.0,18988.88888888889,30.0,30.0,-0.7777777777777778
57,8a858ecc5aa30451015aa42f76320bc7,301967583,4,13:16.0,13:02.0,20000,24500.0,30,Unknown,,,,,,,,,3.0,10000.0,10000.0,13000.0,30.0,30.0,-2.6666666666666665
58,8a858ef458d4a52e0158f30caade579c,301979374,12,26:11.0,25:00.0,40000,44000.0,30,Unknown,,,,,,,,,11.0,25454.545454545456,40000.0,28572.727272727272,23.181818181818183,30.0,-4.090909090909091
59,8a85893d53f104eb015410ce1d262cdd,301974459,12,59:00.0,57:48.0,40000,44000.0,30,Unknown,1986-11-14 00:00:00.000000,Savings,6.9593312,4.8262981,GT Bank,Unknown,Permanent,Unknown,11.0,18000.0,40000.0,20688.636363636364,24.545454545454547,30.0,-1.6363636363636365
60,8a8589c1545181f3015481a6fb827b40,301966976,8,59:17.0,59:05.0,30000,34500.0,30,Unknown,1970-05-31 00:00:00.000000,Savings,3.4179771,6.4411578,Diamond Bank,Unknown,Self-Employed,Graduate,7.0,12857.142857142857,20000.0,15114.285714285714,19.285714285714285,30.0,-1.1428571428571428
61,8a858e105bd92644015bdc54519566e5,301983041,5,13:19.0,13:13.0,20000,24500.0,30,Unknown,,,,,,,,,4.0,15000.0,20000.0,18250.0,26.25,30.0,-10.25
62,8a858e245c214660015c27adef9e3e17,301978681,5,57:01.0,56:54.0,20000,22250.0,15,Unknown,,,,,,,,,4.0,12500.0,20000.0,14187.5,15.0,15.0,-8.25
63,8a858e445add19b4015ae905c37c7b00,301969202,5,56:37.0,56:27.0,20000,24500.0,30,Unknown,1978-06-21 00:00:00.000000,Savings,5.6077613,6.2799374,GT Bank,Unknown,Permanent,Unknown,4.0,12500.0,20000.0,15375.0,26.25,30.0,-6.25
64,8a858e645654fdc4015660f5f3593a9f,301971729,13,00:23.0,00:16.0,50000,57500.0,90,Unknown,,,,,,,,,12.0,30000.0,50000.0,35100.0,43.75,60.0,-6.416666666666667
65,8a858e7c5c78b1ff015c7cc02d010d60,301994542,3,55:07.0,54:58.0,10000,13000.0,30,Unknown,,,,,,,,,2.0,10000.0,10000.0,13000.0,30.0,30.0,-13.0
66,8a858e955add2971015ae83a40df7a76,301983279,4,02:14.0,01:02.0,20000,24500.0,30,Unknown,,,,,,,,,3.0,10000.0,10000.0,12500.0,25.0,30.0,-8.0
67,8a858ea555d9e6020155efaba6540a82,301999930,11,25:37.0,25:30.0,40000,44000.0,30,Unknown,1971-08-17 00:00:00.000000,Other,7.9189432,4.6385243,Diamond Bank,Unknown,Permanent,Graduate,10.0,17800.0,40000.0,21432.5,34.5,60.0,-4.2
68,8a858ec3579655fa015796d4a7f20a25,301969222,10,15:38.0,15:33.0,40000,48000.0,60,Unknown,,,,,,,,,9.0,18888.88888888889,30000.0,22094.444444444445,26.666666666666668,30.0,-8.444444444444445
69,8a858ee25b34d796015b380aa54b5f73,301961428,4,30:17.0,30:10.0,20000,24500.0,30,Unknown,1991-05-19 00:00:00.000000,Savings,7.037165,6.103195,Zenith Bank,Unknown,Unknown,Unknown,3.0,10000.0,10000.0,13000.0,30.0,30.0,-1.3333333333333333
70,8a858f045bc9690c015bca51755455a1,301982454,3,19:31.0,19:24.0,10000,13000.0,30,Unknown,1977-11-06 00:00:00.000000,Savings,3.4343567,6.6982717,GT Bank,Unknown,Unknown,Unknown,2.0,10000.0,10000.0,13000.0,30.0,30.0,2.5
71,8a858f1e5cef1d91015cf11348b17a07,302002857,2,07:31.0,07:24.0,10000,13000.0,30,Unknown,,,,,,,,,1.0,10000.0,10000.0,13000.0,30.0,30.0,-2.0
72,8a858f295c8d307f015c9b0c82c6605b,301993261,2,18:34.0,18:27.0,10000,13000.0,30,Unknown,,,,,,,,,1.0,10000.0,10000.0,13000.0,30.0,30.0,-5.0
73,8a858f465668e3d6015673c90e483f44,301968294,3,08:38.0,08:33.0,15000,18375.0,30,Unknown,1985-09-23 00:00:00.000000,Savings,8.5744302,12.0087925,Access Bank,Unknown,Permanent,Unknown,2.0,10000.0,10000.0,11500.0,15.0,15.0,-1.0
74,8a858f5e5566567d01556f2580846d5f,301964452,8,35:42.0,35:34.0,30000,39000.0,60,Unknown,,,,,,,,,7.0,16428.571428571428,30000.0,20200.0,30.0,60.0,-13.714285714285714
75,8a858f7e564ad33801564b73c7113f56,301983909,8,57:46.0,57:41.0,30000,34500.0,30,Unknown,,,,,,,,,7.0,15714.285714285714,20000.0,19157.14285714286,27.857142857142858,30.0,-0.5714285714285714
76,8a858f9d565c0059015663fdde19510e,301984278,3,07:33.0,07:26.0,10000,13000.0,30,Unknown,,,,,,,,,2.0,10000.0,10000.0,13000.0,30.0,30.0,-0.5
77,8a858fbd59a760570159a7a6fe900a10,301983555,11,08:50.0,08:43.0,40000,44000.0,30,Unknown,,,,,,,,,10.0,22000.0,40000.0,24990.0,24.0,60.0,-3.8
78,8a858fcb5d0ed176015d0efab3180966,301988945,2,52:07.0,51:57.0,10000,13000.0,30,Unknown,,,,,,,,,1.0,10000.0,10000.0,11500.0,15.0,15.0,-5.0
79,8a858fda5c1bd1f7015c1be7f7450f37,301972650,3,28:11.0,28:03.0,10000,13000.0,30,Unknown,1990-11-24 00:00:00.000000,Savings,5.3130584,5.4129534,Fidelity Bank,Unknown,Permanent,Unknown,2.0,10000.0,10000.0,13000.0,30.0,30.0,-5.5
80,8a858ffd5b391849015b392ab12c145c,301996224,3,01:05.0,00:58.0,10000,13000.0,30,Unknown,1990-06-11 00:00:00.000000,Savings,3.268195,6.67134,Access Bank,Unknown,Unknown,Unknown,2.0,10000.0,10000.0,12250.0,22.5,30.0,-1.0
81,8a858e3f5b5cecb6015b5d16a740279e,301980267,2,40:56.0,39:46.0,10000,13000.0,30,Unknown,1987-03-11 00:00:00.000000,Savings,7.3242064,9.1434518,GT Bank,Unknown,Unknown,Unknown,1.0,10000.0,10000.0,13000.0,30.0,30.0,0.0
82,8a858f665ca1c775015ca1e1f1360d78,301978217,2,10:53.0,10:46.0,10000,13000.0,30,Unknown,,,,,,,,,1.0,10000.0,10000.0,13000.0,30.0,30.0,1.0
83,8a8588dc5384a05f01539f0b767647ce,301968957,6,02:08.0,02:02.0,10000,11125.0,15,Unknown,,,,,,,,,5.0,10000.0,10000.0,11800.0,18.0,30.0,-1.2
84,8a858966538deb190153a3e3cce916e9,301974145,17,33:42.0,33:33.0,50000,52500.0,30,Unknown,,,,,,,,,16.0,25625.0,40000.0,29593.75,30.9375,60.0,-5.25
85,8a858e205c21d53a015c31cc641b57ab,301974985,4,49:44.0,49:37.0,20000,24500.0,30,Unknown,,,,,,,,,3.0,10000.0,10000.0,12500.0,25.0,30.0,-9.333333333333334
86,8a858e255557edfe015563a492d53502,301958828,10,41:31.0,40:21.0,40000,48000.0,60,Unknown,,,,,,,,,9.0,20555.555555555555,30000.0,24150.0,33.333333333333336,60.0,-2.7777777777777777
87,8a858e445cd56553015ce17d2c26494d,301961016,2,51:21.0,51:13.0,10000,13000.0,30,Unknown,,,,,,,,,1.0,10000.0,10000.0,13000.0,30.0,30.0,-24.0
88,8a858e6359a764180159a7e46f8f1da6,301963522,6,42:55.0,42:49.0,20000,24500.0,30,Unknown,,,,,,,,,5.0,14000.0,20000.0,17160.0,27.0,30.0,0.0
89,8a858e71570f2c6b01571f8552676a96,301958974,5,56:16.0,56:09.0,20000,24500.0,30,Unknown,,,,,,,,,4.0,11250.0,15000.0,13125.0,18.75,30.0,-4.75
90,8a858ec95afc0922015aff4399e77a12,301971394,6,53:24.0,52:12.0,20000,24500.0,30,Unknown,1971-12-04 00:00:00.000000,Savings,3.3527345,6.6040979,First Bank,Unknown,Permanent,Unknown,5.0,14000.0,20000.0,16700.0,21.0,30.0,-0.6
91,8a858ed55c63db54015c6e0859c72f24,301972583,2,42:40.0,42:33.0,10000,13000.0,30,Unknown,1975-12-25 00:00:00.000000,Savings,7.454604,9.0237492,GT Bank,Unknown,Unknown,Unknown,1.0,10000.0,10000.0,13000.0,30.0,30.0,0.0
92,8a858eec5d4232a5015d4623cd0a048b,301998303,2,32:48.0,32:42.0,10000,12500.0,30,Unknown,,,,,,,,,1.0,10000.0,10000.0,11500.0,15.0,15.0,-7.0
93,8a858f115cea8545015ceb7bb25437cb,301978024,2,49:45.0,49:38.0,10000,11500.0,15,8a858e045b495c30015b49b40d522144,,,,,,,,,1.0,10000.0,10000.0,11500.0,15.0,15.0,-5.0
94,8a858f265c2187bd015c24ab682b4419,302002657,3,27:25.0,27:17.0,10000,13000.0,30,8a858fc45c21da6f015c23e0dcd52333,,,,,,,,,2.0,10000.0,10000.0,13000.0,30.0,30.0,-1.5
95,8a858f2e5b81c373015b83d7c16b7392,301973503,4,02:27.0,02:22.0,20000,24500.0,30,8a858e7c588604a401589ba4c5e769b7,,,,,,,,,3.0,10000.0,10000.0,13000.0,30.0,30.0,-2.6666666666666665
96,8a858f365d5bb7ab015d5f0a75401eb6,301996848,2,24:39.0,24:32.0,10000,13000.0,30,Unknown,,,,,,,,,1.0,10000.0,10000.0,13000.0,30.0,30.0,-29.0
97,8a858f4e5ca72981015ca7886d4725d6,301984337,2,34:37.0,34:31.0,10000,11500.0,15,Unknown,,,,,,,,,1.0,10000.0,10000.0,11500.0,15.0,15.0,-6.0
98,8a858f5c5ad7d927015ad8d3ea7b5cca,301982681,7,45:55.0,45:46.0,20000,24500.0,30,Unknown,,,,,,,,,6.0,13333.333333333334,20000.0,16083.333333333334,22.5,30.0,-4.166666666666667
99,8a858f855bf2f1ad015bf3a592d55d35,301974563,3,07:26.0,07:20.0,10000,13000.0,30,8a858e6d57903422015798efba102d26,,,,,,,,,2.0,10000.0,10000.0,13000.0,30.0,30.0,-2.0
100,8a858fab5b9105dc015b96ba29ad301e,301967948,3,59:02.0,58:55.0,20000,24500.0,30,8a858f385b34d285015b368d23720716,,,,,,,,,2.0,10000.0,10000.0,13000.0,30.0,30.0,-1.5
101,8a858fbf5b3a0b46015b3d155a54623b,301982615,11,05:20.0,04:13.0,30000,34500.0,30,Unknown,,,,,,,,,10.0,15000.0,30000.0,17390.0,21.0,30.0,-12.7
102,8a858fe05784e62901578684e3720c00,301974179,5,59:30.0,59:24.0,10000,13000.0,30,Unknown,,,,,,,,,4.0,10000.0,10000.0,13000.0,30.0,30.0,-0.75
103,8a858ffd5c8d343d015c8f02ce3004ad,301981294,3,27:53.0,27:46.0,10000,11500.0,15,Unknown,1980-08-15 00:00:00.000000,Savings,3.3786657,6.500765,Zenith Bank,Unknown,Unknown,Unknown,2.0,10000.0,10000.0,11500.0,15.0,15.0,-0.5
104,8a858e045cd5b1d6015ce312a2775743,301977156,2,27:34.0,27:29.0,10000,11500.0,15,Unknown,1991-04-05 00:00:00.000000,Savings,3.3661414,6.6067704,GT Bank,Unknown,Permanent,Unknown,1.0,10000.0,10000.0,11500.0,15.0,15.0,-1.0
105,8a858f1b5b256bc9015b3039f72a13d5,302001277,4,22:52.0,21:39.0,10000,13000.0,30,Unknown,,,,,,,,,3.0,10000.0,10000.0,13000.0,30.0,30.0,8.333333333333334
106,8a858f9d5668e3f101566fd2e9f52c60,301987935,13,50:00.0,49:52.0,40000,44000.0,30,Unknown,,,,,,,,,12.0,22500.0,30000.0,26375.0,27.5,60.0,1.25
107,8a85883353d0c4e90153d24b9d0667bd,301971678,12,33:28.0,33:22.0,50000,52500.0,30,Unknown,,,,,,,,,11.0,26363.636363636364,40000.0,31143.18181818182,38.18181818181818,60.0,-6.090909090909091
108,8a85893d542e18bc0154379710d6562c,301969124,13,41:14.0,41:08.0,40000,44000.0,30,Unknown,1976-05-21 00:00:00.000000,Other,7.4261366,10.463302,First Bank,Unknown,Permanent,Post-Graduate,12.0,23333.333333333332,40000.0,26650.0,26.25,60.0,2.5
109,8a8589a453bc422d0153c724edd84327,301987705,13,45:53.0,45:34.0,40000,48000.0,60,Unknown,,,,,,,,,12.0,17500.0,40000.0,21156.25,35.0,60.0,-3.9166666666666665
110,8a8589da5410287f01541a012bf23abb,301999822,17,50:42.0,50:34.0,40000,44000.0,30,Unknown,,,,,,,,,16.0,25625.0,40000.0,29606.25,29.0625,30.0,-1.375
111,8a858e0c5bf343de015bf762be82124b,301983141,3,29:00.0,28:53.0,10000,13000.0,30,Unknown,,,,,,,,,2.0,10000.0,10000.0,13000.0,30.0,30.0,0.0
112,8a858e1d5cd58f9e015cde53c77b1274,301997501,2,18:21.0,18:13.0,10000,13000.0,30,Unknown,,,,,,,,,1.0,10000.0,10000.0,13000.0,30.0,30.0,-12.0
113,8a858e3e5922ba4301592d167a8d19b7,301964038,5,55:12.0,55:07.0,10000,13000.0,30,Unknown,,,,,,,,,4.0,10000.0,10000.0,13000.0,30.0,30.0,14.5
114,8a858e695775665c015779a1a5cc1192,301989636,8,31:21.0,31:13.0,20000,24500.0,30,Unknown,1988-11-19 00:00:00.000000,Other,3.3075583,7.1122136,Access Bank,Unknown,Self-Employed,Post-Graduate,7.0,10000.0,10000.0,12785.714285714286,27.857142857142858,30.0,2.142857142857143
115,8a858e7a56e509290156f6ea4fca69d5,301996573,10,54:55.0,54:46.0,40000,48000.0,60,Unknown,,,,,,,,,9.0,17777.777777777777,30000.0,22133.333333333332,36.666666666666664,60.0,-4.111111111111111
116,8a858e885c63d379015c6cccc09b5b7a,301964444,2,29:16.0,29:11.0,10000,13000.0,30,Unknown,,,,,,,,,1.0,10000.0,10000.0,13000.0,30.0,30.0,-2.0
117,8a858e9b5bcf8546015bd34d1f801a05,301989843,4,44:31.0,44:24.0,15000,18375.0,30,Unknown,1985-07-01 00:00:00.000000,Savings,3.3643317,6.547743,Skye Bank,Unknown,Permanent,Unknown,3.0,10000.0,10000.0,13000.0,30.0,30.0,-5.333333333333333
118,8a85884e548fad6501549e6d40590168,302000036,13,32:51.0,32:45.0,30000,34500.0,30,Unknown,1986-12-22 00:00:00.000000,Savings,3.3538832,6.4825234,First Bank,Unknown,Permanent,Graduate,12.0,20000.0,30000.0,23510.416666666668,28.75,60.0,-0.08333333333333333
119,8a8588bf54c8eab60154c924cdd218ef,301977529,10,37:05.0,36:58.0,20000,22000.0,30,Unknown,,,,,,,,,9.0,14444.444444444445,20000.0,17155.555555555555,26.666666666666668,30.0,-3.0
120,8a8589845369f34301537c2ccbeb6972,302002499,12,22:39.0,22:31.0,30000,34500.0,30,Unknown,,,,,,,,,11.0,16818.18181818182,30000.0,20125.0,27.272727272727273,30.0,-4.181818181818182
121,8a858e035693e029015696c50f545a8b,302000126,8,25:04.0,24:59.0,15000,16687.5,15,Unknown,1972-04-19 00:00:00.000000,Savings,6.9244355,6.0021401,UBA,Unknown,Self-Employed,Unknown,7.0,14285.714285714286,20000.0,16160.714285714286,19.285714285714285,30.0,6.142857142857143
